id;node_name;cpu_usage;ram_usage;uptime;created_at
985;prx3;0.89;24.15;521186;2025-12-19 15:04:23.216582+00:00
984;prx2;0.38;4.7;521142;2025-12-19 15:04:23.193187+00:00
983;prx3;1.18;24.15;521171;2025-12-19 15:04:08.640309+00:00
982;prx3;0.94;24.14;521170;2025-12-19 15:04:07.970589+00:00
981;prx2;0.39;4.7;521126;2025-12-19 15:04:07.260121+00:00
980;prx3;1.35;24.15;521156;2025-12-19 15:03:53.392219+00:00
979;prx3;0.88;24.15;521155;2025-12-19 15:03:52.732271+00:00
978;prx2;0.38;4.69;521111;2025-12-19 15:03:52.046422+00:00
977;prx1;0.08;3.28;521021;2025-12-19 15:03:38.123635+00:00
976;prx3;0.63;24.16;521140;2025-12-19 15:03:37.533757+00:00
975;prx2;0.39;4.69;521096;2025-12-19 15:03:36.879821+00:00
974;prx3;0.66;24.17;521125;2025-12-19 15:03:22.848990+00:00
973;prx3;1.05;24.16;521125;2025-12-19 15:03:22.831094+00:00
972;prx2;0.42;4.69;521081;2025-12-19 15:03:21.700295+00:00
971;prx3;3.47;24.16;521110;2025-12-19 15:03:07.110422+00:00
970;prx3;0.93;24.15;521109;2025-12-19 15:03:06.768799+00:00
969;prx2;0.4;4.7;521065;2025-12-19 15:03:06.462221+00:00
968;prx3;0.95;24.16;521094;2025-12-19 15:02:51.869561+00:00
967;prx3;0.75;24.15;521094;2025-12-19 15:02:51.520968+00:00
966;prx2;0.4;4.69;521050;2025-12-19 15:02:51.220611+00:00
965;prx1;0.09;3.27;520959;2025-12-19 15:02:36.639418+00:00
964;prx3;0.64;24.14;521079;2025-12-19 15:02:36.287123+00:00
963;prx2;0.42;4.69;521035;2025-12-19 15:02:36.036919+00:00
962;prx3;0.95;24.16;521064;2025-12-19 15:02:21.418029+00:00
961;prx3;0.9;24.17;521064;2025-12-19 15:02:21.101974+00:00
960;prx2;0.45;4.69;521020;2025-12-19 15:02:20.854095+00:00
959;prx3;1.23;24.15;521049;2025-12-19 15:02:06.257381+00:00
958;prx3;1.16;24.14;521048;2025-12-19 15:02:06.252903+00:00
957;prx2;0.44;4.69;521005;2025-12-19 15:02:06.202779+00:00
956;prx3;0.67;24.15;521033;2025-12-19 15:01:50.520265+00:00
955;prx3;0.87;24.15;521032;2025-12-19 15:01:50.035950+00:00
954;prx2;0.39;4.69;520989;2025-12-19 15:01:49.754736+00:00
953;prx3;0.73;24.16;521018;2025-12-19 15:01:35.315742+00:00
952;prx3;0.71;24.14;521017;2025-12-19 15:01:34.819814+00:00
951;prx2;0.43;4.69;520973;2025-12-19 15:01:34.499758+00:00
950;prx3;1.02;24.15;521002;2025-12-19 15:01:20.023580+00:00
949;prx3;0.84;24.15;521002;2025-12-19 15:01:19.634240+00:00
948;prx2;0.45;4.69;520958;2025-12-19 15:01:19.289488+00:00
947;prx3;3.14;24.15;520987;2025-12-19 15:01:04.820895+00:00
946;prx3;0.88;24.14;520987;2025-12-19 15:01:04.438961+00:00
945;prx2;0.59;4.68;520943;2025-12-19 15:01:04.136247+00:00
944;prx3;0.83;24.16;520972;2025-12-19 15:00:49.555692+00:00
943;prx3;1.22;24.15;520972;2025-12-19 15:00:49.239708+00:00
942;prx2;0.55;4.69;520928;2025-12-19 15:00:48.958422+00:00
941;prx1;0.09;3.28;520837;2025-12-19 15:00:34.288497+00:00
940;prx3;1.29;24.17;520956;2025-12-19 15:00:34.019967+00:00
939;prx2;0.35;4.7;520913;2025-12-19 15:00:33.769609+00:00
937;prx3;2.14;24.16;520941;2025-12-19 15:00:19.067821+00:00
938;prx1;0.09;3.27;520822;2025-12-19 15:00:19.067821+00:00
936;prx2;0.42;4.7;520897;2025-12-19 15:00:19.067821+00:00
935;prx3;1.03;24.19;520926;2025-12-19 15:00:03.508346+00:00
934;prx3;0.99;24.17;520925;2025-12-19 15:00:02.940346+00:00
933;prx2;0.37;4.69;520881;2025-12-19 15:00:02.293823+00:00
932;prx3;0.7;24.16;520911;2025-12-19 14:59:48.300121+00:00
931;prx3;0.69;24.15;520910;2025-12-19 14:59:47.700422+00:00
930;prx2;0.36;4.7;520866;2025-12-19 14:59:47.108741+00:00
929;prx3;1.36;24.19;520895;2025-12-19 14:59:33.061889+00:00
928;prx3;0.86;24.17;520895;2025-12-19 14:59:32.480115+00:00
927;prx2;0.38;4.7;520851;2025-12-19 14:59:31.928011+00:00
926;prx3;0.56;24.17;520880;2025-12-19 14:59:17.854650+00:00
925;prx3;1.27;24.15;520880;2025-12-19 14:59:17.286176+00:00
924;prx2;0.41;4.7;520836;2025-12-19 14:59:16.768209+00:00
923;prx3;2.7;24.17;520865;2025-12-19 14:59:02.538595+00:00
922;prx3;0.79;24.16;520864;2025-12-19 14:59:02.031323+00:00
921;prx2;0.0;4.7;520820;2025-12-19 14:59:01.511736+00:00
920;prx3;0.92;24.17;520850;2025-12-19 14:58:47.263345+00:00
919;prx3;0.6;24.15;520849;2025-12-19 14:58:46.774444+00:00
918;prx2;0.35;4.69;520805;2025-12-19 14:58:46.228846+00:00
917;prx3;0.95;24.17;520834;2025-12-19 14:58:31.999324+00:00
916;prx3;0.92;24.16;520834;2025-12-19 14:58:31.564861+00:00
915;prx2;0.37;4.69;520790;2025-12-19 14:58:30.993651+00:00
914;prx3;1.28;24.17;520819;2025-12-19 14:58:16.650230+00:00
913;prx3;1.45;24.17;520819;2025-12-19 14:58:16.217133+00:00
912;prx2;0.39;4.69;520775;2025-12-19 14:58:15.752765+00:00
911;prx3;1.67;24.18;520804;2025-12-19 14:58:01.362065+00:00
910;prx3;0.99;24.17;520803;2025-12-19 14:58:00.917070+00:00
909;prx2;0.39;4.7;520759;2025-12-19 14:58:00.506966+00:00
908;prx3;1.59;24.17;520788;2025-12-19 14:57:46.033965+00:00
907;prx3;0.77;24.16;520788;2025-12-19 14:57:45.601317+00:00
906;prx2;0.36;4.69;520744;2025-12-19 14:57:45.230103+00:00
905;prx3;1.56;24.18;520773;2025-12-19 14:57:30.767753+00:00
904;prx3;1.2;24.17;520773;2025-12-19 14:57:30.351222+00:00
903;prx2;0.4;4.69;520729;2025-12-19 14:57:29.933164+00:00
902;prx3;1.0;24.18;520758;2025-12-19 14:57:15.502315+00:00
